DateTime;Volume
2025-09-15T12:00:00Z;11129.302293714158
2025-09-15T13:00:00Z;8943.779045138468
2025-09-15T14:00:00Z;9345.352500943503
2025-09-15T15:00:00Z;9454.001962481963
2025-09-15T16:00:00Z;7646.164760052419
2025-09-15T17:00:00Z;7834.959472961056
2025-09-15T18:00:00Z;11742.943494257725
2025-09-15T19:00:00Z;10459.134704328639
2025-09-15T20:00:00Z;9562.99042972072
2025-09-15T21:00:00Z;9739.307046768703
2025-09-15T22:00:00Z;9279.024520198678
2025-09-15T23:00:00Z;7737.0251707585285
2025-09-16T00:00:00Z;9107.769660809727
2025-09-16T01:00:00Z;11329.060317878126
2025-09-16T02:00:00Z;10379.090839654851
2025-09-16T03:00:00Z;10358.130684875554
2025-09-16T04:00:00Z;10886.892031431913
2025-09-16T05:00:00Z;10517.322387564102
2025-09-16T06:00:00Z;9514.17342023343
2025-09-16T07:00:00Z;11097.505935897763
2025-09-16T08:00:00Z;10208.852632456053
2025-09-16T09:00:00Z;9725.805883478484
2025-09-16T10:00:00Z;7225.206028812372
2025-09-16T11:00:00Z;9872.506426946798
